,age
0,7.733619982796385
1,7.578739534481876
2,10.648779558074017
3,9.554542368697067
4,7.536861487757308
5,12.175463990118894
6,10.624176973039287
7,8.342367811497894
8,12.154072920435834
9,10.679575770743872
10,12.85065478618452
11,9.952198621363188
12,4.652675781417988
13,12.72468494188169
14,5.526286517304923
15,6.198801727456638
16,10.981747852910026
17,12.049019051568873
18,10.038484932774464
19,10.51880099972286
20,16.10617883865182
21,9.45470905363394
22,8.977991494108103
23,8.81976605216205
24,12.464397509959191
25,9.754167076986107
26,14.227252607763555
27,11.851938897462135
28,9.757534252502214
29,11.13808056219048
30,11.021305464292563
31,9.509007849326373
32,9.582214555196765
33,13.338871177371512
34,11.957153005188392
35,7.106120731674802
36,9.699541990664532
37,11.780363533558882
38,9.143969971930717
39,10.63196587208516
40,7.698515175721022
41,9.613495152269213
42,11.297540986528832
43,10.438412576638328
44,17.044027529869084
45,10.902980331952717
46,6.7094350347389256
47,5.986183684058145
48,12.565903197901505
49,10.546016148843938
50,10.84901195937013
51,9.888431997523286
52,9.06412420708357
53,9.835226539678795
54,8.903820545465388
55,12.210233426579496
56,10.413157963568505
57,5.6822850397633236
58,9.217902708680288
59,5.985386107751975
60,11.591624410415076
61,6.7248911503518585
62,8.826585878609228
63,10.915714099925388
64,8.5781340149142
65,7.816194875287532
66,14.073356551758657
67,10.679681427782134
68,9.122844316867852
69,15.834930099927451
70,10.750012950022997
71,6.688354192616311
72,11.829272543476616
73,5.2700803444260025
74,7.587860916032012
75,7.1716089526050055
76,11.208777590109957
77,11.44365024193761
78,9.774396085814026
79,11.06262037367514
80,11.05206181801428
81,7.653642537993527
82,10.021951865021544
83,11.557216019570031
84,4.657113535174011
85,6.842303540717305
86,5.747067351939249
87,15.59861567494627
88,11.007375703651386
89,13.596100516073426
90,9.89766869374693
91,11.250109466946915
92,14.888672644795644
93,14.368557301326172
94,11.557560795651952
95,8.032485706532468
96,10.85545432073141
97,5.958627175586894
98,10.499850271457921
99,7.9909438768940415
100,7.835955262968658
